id,name,country,iplTeam,formats,arm,type,paceKph,strengths,strategies
jasprit_bumrah,Jasprit Bumrah,India,,ODI|T20I|Test,R,pace,140–150,Yorker specialist|Hard 4th stump|Wobble seam,New ball: hard length then fuller nip-backer. Death: yorker > bouncer > wide yorker; bowl to one side.
mohammed_shami,Mohammed Shami,India,,ODI|Test,R,seam,140–145,Seam movement|Hit the deck|Reverse,Test/ODI: top of off with wobble seam; attack pads fuller after bumper.
mohammed_siraj,Mohammed Siraj,India,,ODI|T20I|Test,R,seam,135–145,Wobble seam|Channel pressure|Burst bumper,4th-stump pressure; surprise bumper; fuller nip-backer.
ravichandran_ashwin,Ravichandran Ashwin,India,,Test,R,offspin,—,Drift & dip|Carrom ball|Top of off,Outside-off channel to RHB; to LHB target pad with drift.
kuldeep_yadav,Kuldeep Yadav,India,,ODI|T20I|Test,L,leftarm-spin,—,Wrong’un|Drift & dip|Top-spinner,Middle: stumps attack; vary pace; bowl to long boundary.
bhuvneshwar_kumar,Bhuvneshwar Kumar,India,,ODI|T20I,R,swing,125–135,New-ball outswing|Knuckleball|Control,PP: full outside off; later knuckle/slow; wide yorker late.
arshdeep_singh,Arshdeep Singh,India,,ODI|T20I,L,leftarm-pace,130–135,Angle across|Wide yorker|Change-ups,PP: angle across to 4th stump; death wide yorker and cutter.
ravi_bishnoi,Ravi Bishnoi,India,,T20I,R,legspin,—,Googly heavy|Flatter pace|Control,Middle: googly to RHB; back-of-length to force miscues.
deepak_chahar,Deepak Chahar,India,CSK,T20I|ODI,R,swing,130–135,PP outswing|Full attacking length|Knuckleball,PP: two full outswingers then 4th stump. Death: knuckle/slow wide.
tushar_deshpande,Tushar Deshpande,India,CSK,T20,R,pace,135–140,Hard length|Back-of-length bouncer|Yorker attempts,Middle: hard length 4th stump; bouncer; finish with yorker.
matheesha_pathirana,Matheesha Pathirana,Sri Lanka,CSK,T20I,R,pace,140–150,Slingy yorker|Change-ups|Bouncer,Death: at-heel yorker; slow bouncer; wide yorker.
maheesh_theekshana,Maheesh Theekshana,Sri Lanka,CSK,ODI|T20I,R,offspin,—,Carrom ball|Powerplay spin|Drift,PP: top of off/5th stump carrom; protect off-side ring.
ravindra_jadeja,Ravindra Jadeja,India,CSK,ODI|T20I|Test,L,leftarm-spin,—,Accuracy|Darts at pads|Change of pace,Middle: attack pads; ring field off-side.
mustafizur_rahman,Mustafizur Rahman,Bangladesh,CSK,ODI|T20I,L,leftarm-pace,130–135,Cutter|Angle across|Wide yorker,Middle/Death: cutters into pitch; wide yorker to big side.
mukesh_choudhary,Mukesh Choudhary,India,CSK,T20,L,leftarm-pace,130–135,Angle across|Full swing|Hard length,PP: full outswing then 4th stump.
jasprit_bumrah_mi,Jasprit Bumrah,India,MI,ODI|T20I|Test,R,pace,140–150,Yorker|Bouncer|Wide yorker,Death pattern triangle; one-side field.
akash_madhwal,Akash Madhwal,India,MI,T20,R,pace,135–140,Yorker|Hard length|Skid,Death: aim base of off; occasional slow bouncer.
gerald_coetzee,Gerald Coetzee,South Africa,MI,ODI|T20I|Test,R,pace,145–150,Heavy ball|Bouncer|Yorker,Middle: pound hard length; death mix yorker/pace-off.
nuwan_thushara,Nuwan Thushara,Sri Lanka,MI,T20I,R,pace,135–140,Slingy angle|Wide yorker|Change-ups,"Death: wide yorker, slow bouncer; PP: full outside off."
piyush_chawla,Piyush Chawla,India,MI,ODI|T20I,R,legspin,—,Leg-break|Googly|Flight,Middle: good length; wrong’un to RHB with deep leg-side.
mohammad_nabi,Mohammad Nabi,Afghanistan,MI,ODI|T20I,R,offspin,—,Arm ball|Flat trajectory|Control,Middle: attack pads; ring off-side.
mohammed_siraj_rcb,Mohammed Siraj,India,RCB,ODI|T20I|Test,R,seam,135–145,Wobble seam|Channel control|Burst bumper,PP: 4th stump; bumper; fuller nip-backer.
reece_topley,Reece Topley,England,RCB,ODI|T20I,L,leftarm-pace,130–140,Angle across|Full swing|Back-of-length,PP: across RHB; death wide yorker/cutters.
yash_dayal,Yash Dayal,India,RCB,T20,L,leftarm-pace,130–135,Angle across|Back-of-length|Change-ups,Middle: cutters into pitch; wide yorker late.
karn_sharma,Karn Sharma,India,RCB,T20,R,legspin,—,Leg-break|Googly|Flatter trajectory,Middle: back-of-length; wrong’un to cramp slog-sweep.
vijaykumar_vyshak,Vijaykumar Vyshak,India,RCB,T20,R,pace,130–135,Hard length|Slower ball|Yorker attempts,Middle: hard length; death pace-off then yorker.
himanshu_sharma,Himanshu Sharma,India,RCB,T20,R,legspin,—,Leg-break|Wrong’un|Flat,Middle: into pitch; protect long boundary.
mitchell_starc_kkr,Mitchell Starc,Australia,KKR,ODI|T20I|Test,L,leftarm-pace,145–155,Express yorker|Late swing|Hostile bouncer,PP: full at stumps/4th stump. Death: yorker-bouncer-wide yorker.
sunil_narine,Sunil Narine,West Indies,KKR,ODI|T20I,R,offspin,—,Carrom ball|Skiddy off-break|PP spin,PP/Middle: attack top of off; mix carrom/angle to pads.
varun_chakravarthy,Varun Chakravarthy,India,KKR,T20,R,legspin,—,Mystery variations|Flatter pace|Control,Middle: into the pitch; vary release; protect long boundary.
harshit_rana,Harshit Rana,India,KKR,T20,R,pace,135–140,Hard length|Bouncer|Change-ups,Middle: hard 4th stump; slow bouncer; yorker end.
vaibhav_arora,Vaibhav Arora,India,KKR,T20,R,swing,130–135,New-ball outswing|Angle|Control,PP: full outside off; later cutters.
suyash_sharma,Suyash Sharma,India,KKR,T20,R,legspin,—,Leg-break|Wrong’un|Flight,Middle: toss up; wrong’un to RHB.
trent_boult_rr,Trent Boult,New Zealand,RR,ODI|T20I,L,leftarm-pace,135–145,PP inswing|Full length|Bouncer surprise,PP: two full inswingers then 4th stump; around-the-wicket to trap LBW.
yuzvendra_chahal,Yuzvendra Chahal,India,RR,ODI|T20I,R,legspin,—,Googly to RHB|Top-spinner dip|Flight,Middle: pads attack; wrong’un with ring; tempt big hit to long boundary.
ravichandran_ashwin_rr,Ravichandran Ashwin,India,RR,ODI|T20I|Test,R,offspin,—,Drift & dip|Carrom ball|Field craft,Middle: off-stump channel; carrom to beat outside edge.
sandeep_sharma,Sandeep Sharma,India,RR,T20,R,swing,125–135,New-ball outswing|Knuckleball|Control,PP: full outside off; knuckle late.
avesh_khan,Avesh Khan,India,RR,T20I,R,pace,135–145,Hard length|Bouncer|Wide yorker,Middle/Death: back-of-length; wide yorker to big side.
kuldeep_sen,Kuldeep Sen,India,RR,T20,R,pace,140–145,Hit deck|Bouncer|Yorker attempt,Middle: heavy length; death: change-ups.
mohit_sharma,Mohit Sharma,India,GT,T20,R,pace,130–135,Slower ball|Cutter|Wide yorker,Middle/Death: pace-off and wide angles.
rashid_khan_gt,Rashid Khan,Afghanistan,GT,ODI|T20I,R,legspin,—,Fast leg-break|Googly|Back-of-length skid,Middle: stumps attack; mix wrong’un; bowl to long boundary.
